Territorialidades,Taxa de Educacao 2010
Pirapora do Bom Jesus (SP),94.08
Pirapora (MG),92.99
Pirapó (RS),86.27
Pirapozinho (SP),92.65
Piraquara (PR),95.0
Piraquê (TO),78.86
Pirassununga (SP),95.96
Piratininga (SP),94.29
Piratini (RS),89.69
Piratuba (SC),94.6
Piraúba (MG),90.38
Pirenópolis (GO),89.12
Pires do Rio (GO),92.36
Pires Ferreira (CE),70.06
Piripá (BA),74.59
Piripiri (PI),73.7
Piritiba (BA),78.37
Pirpirituba (PB),70.1
Pitanga (PR),89.51
Pitangueiras (PR),87.76
Pitangueiras (SP),91.96
Pitangui (MG),93.86
Pitimbu (PB),72.41
Piúma (ES),92.39
Piumhi (MG),92.94
Pium (TO),80.63
Placas (PA),82.88
Plácido de Castro (AC),81.55
Planaltina do Paraná (PR),86.88
Planaltina (GO),89.92
Planaltino (BA),67.76
Planalto Alegre (SC),88.02
Planalto (BA),70.54
Planalto da Serra (MT),86.02
Planalto (PR),90.6
Planalto (RS),88.72
Planalto (SP),90.19
Planura (MG),91.59
Platina (SP),89.99
Poá (SP),96.7
Poção de Pedras (MA),68.39
Poção (PE),66.04
Pocinhos (PB),74.85
Poço Branco (RN),70.36
Poço Dantas (PB),63.54
Poço das Antas (RS),97.21
Poço das Trincheiras (AL),66.37
Poço de José de Moura (PB),72.97
Poções (BA),73.07
Poço Fundo (MG),93.05
Poconé (MT),82.14
Poço Redondo (SE),64.42
Poços de Caldas (MG),96.31
Poço Verde (SE),70.15
Pocrane (MG),81.16
Pojuca (BA),90.68
Poloni (SP),90.58
Pombal (PB),73.92
Pombos (PE),71.27
Pomerode (SC),98.32
Pompéia (SP),94.88
Pompéu (MG),90.39
Pongaí (SP),91.04
Ponta de Pedras (PA),85.59
Ponta Grossa (PR),96.33
Pontal do Araguaia (MT),91.13
Pontal do Paraná (PR),95.17
Pontalina (GO),85.92
Pontalinda (SP),86.54
Pontal (SP),90.37
Pontão (RS),95.25
Ponta Porã (MS),90.8
Ponte Alta do Bom Jesus (TO),74.8
Ponte Alta do Norte (SC),90.39
Ponte Alta do Tocantins (TO),83.38
Ponte Alta (SC),88.72
Ponte Branca (MT),86.87
Ponte Nova (MG),92.94
Ponte Preta (RS),93.46
Pontes E Lacerda (MT),90.05
Ponte Serrada (SC),90.34
Pontes Gestal (SP),89.37
Ponto Belo (ES),78.31
Ponto Chique (MG),83.91
Ponto dos Volantes (MG),72.18
Ponto Novo (BA),74.56
Populina (SP),86.93
Porangaba (SP),92.93
Poranga (CE),66.03
Porangatu (GO),89.42
Porciúncula (RJ),88.49
Porecatu (PR),90.58
Portalegre (RN),76.2
Portão (RS),95.37
Porteirão (GO),87.23
Porteiras (CE),70.83
Porteirinha (MG),78.78
Portelândia (GO),86.22
Portel (PA),69.9
Porto Acre (AC),76.5
Porto Alegre do Norte (MT),89.44
Porto Alegre do Piauí (PI),72.36
Porto Alegre do Tocantins (TO),80.13
Porto Alegre (RS),97.73
Porto Amazonas (PR),93.53
Porto Barreiro (PR),89.61
Porto Belo (SC),95.38
Porto Calvo (AL),71.56
Porto da Folha (SE),68.49
Porto de Moz (PA),78.54
Porto de Pedras (AL),67.74
Porto do Mangue (RN),72.34
Porto dos Gaúchos (MT),88.35
Porto Esperidião (MT),85.69
Porto Estrela (MT),74.57
Porto Feliz (SP),94.76
Porto Ferreira (SP),94.75
Porto Firme (MG),86.54
Porto Franco (MA),84.6
Porto Grande (AP),87.22
Porto Lucena (RS),91.37
Porto Mauá (RS),93.39
Porto Murtinho (MS),89.25
Porto Nacional (TO),90.78
Porto (PI),64.99
Porto Real do Colégio (AL),65.54
Porto Real (RJ),93.67
Porto Rico do Maranhão (MA),84.55
Porto Rico (PR),87.39
Porto Seguro (BA),88.02
Porto União (SC),96.56
Porto Velho (RO),94.9
Porto Vera Cruz (RS),92.1
Porto Vitória (PR),93.96
Porto Walter (AC),65.78
Porto Xavier (RS),88.87
Posse (GO),84.76
Poté (MG),74.52
Potengi (CE),65.48
Potim (SP),95.25
Potiraguá (BA),77.65
Potirendaba (SP),93.12
Potiretama (CE),70.89
Pouso Alegre (MG),96.01
Pouso Alto (MG),91.49
Pouso Novo (RS),91.03
Pouso Redondo (SC),94.15
Poxoréo (MT),83.31
Pracinha (SP),88.16
Pracuúba (AP),88.21
Prado (BA),80.1
Prado Ferreira (PR),87.48
Pradópolis (SP),91.23
Prados (MG),93.13
Praia Grande (SC),90.42
Praia Grande (SP),95.84
Praia Norte (TO),69.04
Prainha (PA),82.59
Pranchita (PR),90.55
Prata do Piauí (PI),64.73
Prata (MG),90.33
Pratânia (SP),92.6
Prata (PB),76.51
Pratápolis (MG),91.21
Pratinha (MG),88.5
Presidente Alves (SP),90.14
Presidente Bernardes (MG),86.4
Presidente Bernardes (SP),92.43
Presidente Castello Branco (SC),95.3
Presidente Castelo Branco (PR),87.57
Presidente Dutra (BA),84.58
Presidente Dutra (MA),78.41
Presidente Epitácio (SP),93.21
Presidente Figueiredo (AM),92.75
Presidente Getúlio (SC),96.94
Presidente Jânio Quadros (BA),65.98
Presidente Juscelino (MA),71.66
Presidente Juscelino (MG),80.36
Presidente Juscelino (RN),67.93
Presidente Kennedy (ES),82.89
Presidente Kennedy (TO),83.65
Presidente Kubitschek (MG),86.72
Presidente Lucena (RS),97.8
Presidente Médici (MA),74.28
Presidente Médici (RO),87.83
Presidente Nereu (SC),88.71
Presidente Olegário (MG),89.24
Presidente Prudente (SP),96.08
Presidente Sarney (MA),69.64
Presidente Tancredo Neves (BA),70.85
Presidente Vargas (MA),71.25
Presidente Venceslau (SP),93.36
Primavera de Rondônia (RO),86.58
Primavera do Leste (MT),95.28
Primavera (PA),79.12
Primavera (PE),71.82
Primeira Cruz (MA),73.88
Primeiro de Maio (PR),89.52
Princesa Isabel (PB),74.67
Princesa (SC),89.64
Professor Jamil (GO),84.54
Progresso (RS),91.21
Promissão (SP),94.4
Propriá (SE),81.32
Protásio Alves (RS),93.05
Prudente de Morais (MG),93.49
Prudentópolis (PR),92.1
Pugmil (TO),87.03
Pureza (RN),71.78
Putinga (RS),91.4
Puxinanã (PB),78.41
Quadra (SP),90.75
Quaraí (RS),94.4
Quartel Geral (MG),87.98
Quarto Centenário (PR),87.24
Quatá (SP),91.96
Quatiguá (PR),91.54
Quatipuru (PA),77.07
Quatis (RJ),93.25
Quatro Barras (PR),95.3
Quatro Irmãos (RS),90.3
Quatro Pontes (PR),98.76
Quebrangulo (AL),67.77
Quedas do Iguaçu (PR),88.86
Queimada Nova (PI),68.7
Queimadas (BA),76.39
Queimadas (PB),77.44
Queimados (RJ),94.32
Queiroz (SP),86.76
Queluzito (MG),93.21
Queluz (SP),93.47
Querência do Norte (PR),84.64
Querência (MT),91.82
Quevedos (RS),91.28
Quijingue (BA),65.53
Quilombo (SC),91.78
Quinta do Sol (PR),83.55
Quintana (SP),90.54
Quinze de Novembro (RS),96.44
Quipapá (PE),63.55
Quirinópolis (GO),90.09
Quissamã (RJ),91.16
Quitandinha (PR),92.89
Quiterianópolis (CE),67.19
Quixabá (PB),73.76
Quixaba (PE),71.82
Quixabeira (BA),69.17
Quixadá (CE),77.06
Quixelô (CE),63.3
Quixeramobim (CE),75.8
Quixeré (CE),73.97
Rafael Fernandes (RN),75.57
Rafael Godeiro (RN),74.19
Rafael Jambeiro (BA),70.22
Rafard (SP),95.26
Ramilândia (PR),84.63
Rancharia (SP),92.76
Rancho Alegre D'Oeste (PR),86.17
Rancho Alegre (PR),88.92
Rancho Queimado (SC),93.02
Raposa (MA),84.73
Raposos (MG),94.99
Raul Soares (MG),86.11
Realeza (PR),92.18
Rebouças (PR),93.15
Recife (PE),92.87
Recreio (MG),88.62
Recursolândia (TO),72.37
Redenção (CE),75.68
Redenção da Serra (SP),89.6
Redenção do Gurguéia (PI),78.22
Redenção (PA),88.38
Redentora (RS),83.72
Reduto (MG),86.67
Regeneração (PI),68.18
Regente Feijó (SP),92.66
Reginópolis (SP),91.67
Registro (SP),94.42
Relvado (RS),95.3
Remanso (BA),72.55
Remígio (PB),69.3
Renascença (PR),90.26
Reriutaba (CE),70.75
Resende Costa (MG),94.07
Resende (RJ),95.79
Reserva do Cabaçal (MT),82.11
Reserva do Iguaçu (PR),88.04
Reserva (PR),85.24
Resplendor (MG),85.24
Ressaquinha (MG),89.28
Restinga Seca (RS),92.89
Restinga (SP),91.01
Retirolândia (BA),80.79
Riachão das Neves (BA),69.84
Riachão do Bacamarte (PB),64.19
Riachão do Dantas (SE),70.77
Riachão do Jacuípe (BA),82.02
Riachão do Poço (PB),66.37
Riachão (MA),79.91
Riachão (PB),68.52
Riachinho (MG),86.0
Riachinho (TO),77.44
Riacho da Cruz (RN),74.15
Riacho das Almas (PE),65.53
Riacho de Santana (BA),72.46
Riacho de Santana (RN),72.55
Riacho de Santo Antônio (PB),75.36
Riacho dos Cavalos (PB),67.36
Riacho dos Machados (MG),77.94
Riacho Frio (PI),79.92
Riachuelo (RN),69.72
Riachuelo (SE),82.99
Rialma (GO),91.75
Rianápolis (GO),84.45
Ribamar Fiquene (MA),78.16
Ribas do Rio Pardo (MS),89.65
Ribeira do Amparo (BA),64.41
Ribeira do Piauí (PI),69.53
Ribeira do Pombal (BA),73.66
Ribeirão Bonito (SP),90.48
Ribeirão Branco (SP),87.76
Ribeirão Cascalheira (MT),88.18
Ribeirão Claro (PR),92.55
Ribeirão Corrente (SP),90.49
Ribeirão das Neves (MG),93.69
Ribeirão do Largo (BA),69.04
Ribeirão do Pinhal (PR),84.62
Ribeirão dos Índios (SP),86.08
Ribeirão do Sul (SP),92.78
Ribeirão Grande (SP),86.91
Ribeirão (PE),76.71
Ribeirão Pires (SP),96.53
Ribeirão Preto (SP),97.09
Ribeirão Vermelho (MG),94.86
Ribeirãozinho (MT),88.45
Ribeira (SP),87.52
Ribeiro Gonçalves (PI),77.32
Ribeirópolis (SE),71.5
Rifaina (SP),93.19
Rincão (SP),92.21
Rinópolis (SP),89.85
Rio Acima (MG),92.84
Rio Azul (PR),95.83
Rio Bananal (ES),86.73
Rio Bom (PR),91.54
Rio Bonito do Iguaçu (PR),89.14
Rio Bonito (RJ),92.11
Rio Branco (AC),90.97
Rio Branco do Ivaí (PR),85.01
Rio Branco do Sul (PR),89.53
Rio Branco (MT),85.8
Rio Brilhante (MS),91.89
Rio Casca (MG),88.81
Rio Claro (RJ),89.77
Rio Claro (SP),96.54
Rio Crespo (RO),86.71
Rio da Conceição (TO),85.98
Rio das Antas (SC),94.0
Rio das Flores (RJ),91.35
Rio das Ostras (RJ),96.27
Rio das Pedras (SP),93.86
Rio de Contas (BA),79.96
Rio de Janeiro (RJ),97.12
Rio do Antônio (BA),71.56
Rio do Campo (SC),94.21
Rio Doce (MG),85.61
Rio do Fogo (RN),73.16
Rio do Oeste (SC),95.92
Rio do Pires (BA),72.66
Rio do Prado (MG),75.68
Rio dos Bois (TO),80.75
Rio dos Cedros (SC),96.97
Rio dos Índios (RS),85.15
Rio do Sul (SC),97.19
Rio Espera (MG),86.68
Rio Formoso (PE),77.51
Rio Fortuna (SC),97.11
Rio Grande da Serra (SP),94.59
Rio Grande do Piauí (PI),70.23
Rio Grande (RS),95.38
Riolândia (SP),86.99
Rio Largo (AL),81.72
Rio Manso (MG),88.42
Rio Maria (PA),83.96
Rio Negrinho (SC),96.16
Rio Negro (MS),87.05
Rio Negro (PR),96.46
Rio Novo do Sul (ES),90.97
Rio Novo (MG),90.1
Rio Paranaíba (MG),91.26
Rio Pardo de Minas (MG),76.57
Rio Pardo (RS),91.77
Rio Piracicaba (MG),91.46
Rio Pomba (MG),90.97
Rio Preto da Eva (AM),88.75
Rio Preto (MG),87.74
Rio Quente (GO),95.15
Rio Real (BA),75.57
Rio Rufino (SC),90.49
Rio Sono (TO),80.11
Rio Tinto (PB),73.44
Rio Verde de Mato Grosso (MS),88.16
Rio Verde (GO),93.55
Rio Vermelho (MG),73.1
Riozinho (RS),91.61
Riqueza (SC),91.57
Ritápolis (MG),90.46
Riversul (SP),86.7
Roca Sales (RS),96.9
Rochedo de Minas (MG),90.56
Rochedo (MS),92.52
Rodeio Bonito (RS),92.07
Rodeio (SC),96.25
Rodeiro (MG),91.85
Rodelas (BA),77.84
Rodolfo Fernandes (RN),69.56
Rodrigues Alves (AC),68.74
Rolador (RS),92.2
Rolândia (PR),93.83
Rolante (RS),93.41
Rolim de Moura (RO),90.96
Romaria (MG),91.78
Romelândia (SC),88.64
Roncador (PR),84.45
Ronda Alta (RS),92.85
Rondinha (RS),95.74
Rondolândia (MT),84.6
Rondon do Pará (PA),79.93
Rondonópolis (MT),92.8
Rondon (PR),89.33
Roque Gonzales (RS),92.9
Rorainópolis (RR),85.43
Rosana (SP),92.61
Rosário da Limeira (MG),86.27
Rosário do Catete (SE),85.86
Rosário do Ivaí (PR),80.47
Rosário do Sul (RS),92.37
Rosário (MA),81.9
Rosário Oeste (MT),83.07
Roseira (SP),94.68
Roteiro (AL),61.97
Rubelita (MG),75.57
Rubiácea (SP),89.15
Rubiataba (GO),90.01
Rubim (MG),73.34
Rubinéia (SP),92.97
Rurópolis (PA),82.22
Russas (CE),80.41
Ruy Barbosa (BA),77.31
Ruy Barbosa (RN),69.04
Sabará (MG),95.04
Sabáudia (PR),90.26
Sabinópolis (MG),82.31
Sabino (SP),91.5
Saboeiro (CE),66.5
Sacramento (MG),93.59
Sagrada Família (RS),86.95
Sagres (SP),86.53
Sairé (PE),66.43
Saldanha Marinho (RS),94.78
Sales Oliveira (SP),94.98
Salesópolis (SP),90.87
Sales (SP),89.43
Salete (SC),95.47
Salgadinho (PB),66.98
Salgadinho (PE),56.79
Salgado de São Félix (PB),63.13
Salgado Filho (PR),89.14
Salgado (SE),72.53
Salgueiro (PE),83.75
Salinas da Margarida (BA),87.96
Salinas (MG),82.72
Salinópolis (PA),88.95
Salitre (CE),60.02
Salmourão (SP),86.1
Saloá (PE),64.95
Saltinho (SC),86.02
Saltinho (SP),97.33
Salto da Divisa (MG),74.01
Salto de Pirapora (SP),92.15
Salto do Céu (MT),84.76
Salto do Itararé (PR),85.08
Salto do Jacuí (RS),91.43
Salto do Lontra (PR),90.27
Salto Grande (SP),90.25
Salto (SP),96.04
Salto Veloso (SC),92.45
Salvador (BA),96.03
Salvador das Missões (RS),98.13
Salvador do Sul (RS),97.69
Salvaterra (PA),90.96
Sambaíba (MA),77.95
Sampaio (TO),76.08
Sananduva (RS),94.47
Sanclerlândia (GO),87.32
Sandolândia (TO),83.42
Sandovalina (SP),88.83
Sangão (SC),92.72
Sanharó (PE),74.17
Santa Adélia (SP),92.35
Santa Albertina (SP),90.02
Santa Amélia (PR),88.81
Santa Bárbara (BA),77.77
Santa Bárbara de Goiás (GO),87.2
Santa Bárbara D'Oeste (SP),96.33
Santa Bárbara do Leste (MG),86.48
Santa Bárbara do Monte Verde (MG),84.91
Santa Bárbara do Pará (PA),91.61
Santa Bárbara do Sul (RS),93.26
Santa Bárbara do Tugúrio (MG),85.71
Santa Bárbara (MG),94.2
Santa Branca (SP),93.14
Santa Brígida (BA),65.92
Santa Carmem (MT),91.95
Santa Cecília do Pavão (PR),82.17
Santa Cecília do Sul (RS),94.87
Santa Cecília (PB),64.39
Santa Cecília (SC),90.34
Santa Clara D'Oeste (SP),89.22
Santa Clara do Sul (RS),96.12
Santa Cruz Cabrália (BA),84.19
Santa Cruz da Baixa Verde (PE),73.98
Santa Cruz da Conceição (SP),94.58
Santa Cruz da Esperança (SP),94.67
Santa Cruz das Palmeiras (SP),91.84
Santa Cruz da Vitória (BA),75.39
Santa Cruz de Goiás (GO),85.58
Santa Cruz de Minas (MG),94.8
Santa Cruz de Monte Castelo (PR),87.09
Santa Cruz de Salinas (MG),73.26
Santa Cruz do Arari (PA),88.46
Santa Cruz do Capibaribe (PE),83.99
Santa Cruz do Escalvado (MG),84.52
Santa Cruz do Piauí (PI),64.12
Santa Cruz do Rio Pardo (SP),94.53
Santa Cruz dos Milagres (PI),66.0
Santa Cruz do Sul (RS),96.63
Santa Cruz do Xingu (MT),91.07
Santa Cruz (PB),71.82
Santa Cruz (PE),67.49
Santa Cruz (RN),75.77
Santa Efigênia de Minas (MG),80.25
Santa Ernestina (SP),92.91
Santa Fé de Goiás (GO),87.14
Santa Fé de Minas (MG),81.47
Santa Fé do Araguaia (TO),80.31
Santa Fé do Sul (SP),93.57
Santa Fé (PR),91.3
Santa Filomena do Maranhão (MA),68.5
Santa Filomena (PE),68.07
Santa Filomena (PI),75.61
Santa Gertrudes (SP),95.41
Santa Helena de Goiás (GO),87.6
Santa Helena de Minas (MG),68.34
Santa Helena (MA),77.18
Santa Helena (PB),73.89
Santa Helena (PR),92.3
Santa Helena (SC),90.18
Santa Inês (BA),71.74
Santa Inês (MA),82.41
Santa Inês (PB),67.85
Santa Inês (PR),87.0
Santa Isabel do Ivaí (PR),87.92
Santa Isabel do Pará (PA),90.57
Santa Isabel do Rio Negro (AM),66.89
Santa Isabel (GO),85.97
Santa Isabel (SP),92.51
Santa Izabel do Oeste (PR),90.22
Santa Juliana (MG),92.79
Santa Leopoldina (ES),86.74
Santa Lúcia (PR),87.08
Santa Lúcia (SP),91.96
Santaluz (BA),76.63
Santa Luzia (BA),70.11
Santa Luzia D'Oeste (RO),86.97
Santa Luzia do Itanhy (SE),66.97
Santa Luzia do Norte (AL),76.87
Santa Luzia do Pará (PA),75.11
Santa Luzia do Paruá (MA),76.14
Santa Luzia (MA),66.7
Santa Luzia (MG),95.21
Santa Luzia (PB),79.98
Santa Luz (PI),73.58
Santa Margarida do Sul (RS),87.56
Santa Margarida (MG),87.95
Santa Maria da Boa Vista (PE),78.8
Santa Maria das Barreiras (PA),81.35
Santa Maria da Serra (SP),91.48
Santa Maria da Vitória (BA),76.03
Santa Maria de Itabira (MG),86.04
Santa Maria de Jetibá (ES),89.08
Santa Maria do Cambucá (PE),64.62
Santa Maria do Herval (RS),98.09
Santa Maria do Oeste (PR),85.56
Santa Maria do Pará (PA),79.85
Santa Maria do Salto (MG),71.67
Santa Maria do Suaçuí (MG),75.95
Santa Maria do Tocantins (TO),82.38
Santa Maria Madalena (RJ),87.21
Santa Mariana (PR),86.3
Santa Maria (RN),71.15
Santa Maria (RS),96.82
Santa Mercedes (SP),88.24
Santa Mônica (PR),87.13
Santana (AP),90.26
Santana (BA),74.28
Santana da Boa Vista (RS),86.02
Santana da Ponte Pensa (SP),91.0
Santana da Vargem (MG),90.99
Santana de Cataguases (MG),88.67
Santana de Mangueira (PB),63.71
Santana de Parnaíba (SP),95.5
Santana de Pirapama (MG),82.24
Santana do Acaraú (CE),70.44
Santana do Araguaia (PA),85.26
Santana do Cariri (CE),70.0
Santana do Deserto (MG),90.49
Santana do Garambéu (MG),83.27
Santana do Ipanema (AL),71.06
Santana do Itararé (PR),83.9
Santana do Jacaré (MG),84.74
Sant'Ana do Livramento (RS),95.79
Santana do Manhuaçu (MG),82.44
Santana do Maranhão (MA),65.67
Santana do Matos (RN),71.02
Santana do Mundaú (AL),61.28
Santana do Paraíso (MG),90.7
Santana do Piauí (PI),69.66
Santana do Riacho (MG),84.62
Santana do São Francisco (SE),78.98
Santana do Seridó (RN),80.46
Santana dos Garrotes (PB),64.83
Santana dos Montes (MG),88.96
Santanópolis (BA),75.73
Santa Quitéria (CE),72.57
Santa Quitéria do Maranhão (MA),67.17
Santarém Novo (PA),82.8
Santarém (PA),92.6
Santarém (PB),64.15
Santa Rita de Caldas (MG),91.61
Santa Rita de Cássia (BA),78.96
Santa Rita de Ibitipoca (MG),82.67
Santa Rita de Jacutinga (MG),87.69
Santa Rita de Minas (MG),83.78
Santa Rita do Araguaia (GO),89.96
Santa Rita D'Oeste (SP),88.64
Santa Rita do Itueto (MG),81.32
Santa Rita do Novo Destino (GO),76.85
Santa Rita do Pardo (MS),87.44
Santa Rita do Passa Quatro (SP),95.57
Santa Rita do Sapucaí (MG),91.45
Santa Rita do Tocantins (TO),85.01
Santa Rita do Trivelato (MT),94.82
Santa Rita (MA),77.88
Santa Rita (PB),79.39
Santa Rosa da Serra (MG),87.51
Santa Rosa de Goiás (GO),84.92
Santa Rosa de Lima (SC),95.17
Santa Rosa de Lima (SE),72.83
Santa Rosa de Viterbo (SP),95.06
Santa Rosa do Piauí (PI),68.35
Santa Rosa do Purus (AC),73.03
Santa Rosa do Sul (SC),93.38
Santa Rosa do Tocantins (TO),82.28
Santa Rosa (RS),96.25
Santa Salete (SP),93.99
Santa Teresa (ES),90.16
Santa Teresinha (BA),74.64
Santa Teresinha (PB),72.86
Santa Tereza de Goiás (GO),85.81
Santa Tereza do Oeste (PR),92.55
Santa Tereza do Tocantins (TO),85.43
Santa Tereza (RS),96.5
Santa Terezinha de Goiás (GO),85.6
Santa Terezinha de Itaipu (PR),92.74
Santa Terezinha do Progresso (SC),86.82
Santa Terezinha do Tocantins (TO),78.79
Santa Terezinha (MT),84.72
Santa Terezinha (PE),75.3
Santa Terezinha (SC),94.34
Santa Vitória do Palmar (RS),93.53
Santa Vitória (MG),87.78
Santiago do Sul (SC),88.59
Santiago (RS),95.46
Santo Afonso (MT),82.84
Santo Amaro (BA),87.34
Santo Amaro da Imperatriz (SC),94.87
Santo Amaro das Brotas (SE),81.11
Santo Amaro do Maranhão (MA),75.46
Santo Anastácio (SP),92.97
Santo André (PB),72.85
Santo André (SP),97.22
Santo Ângelo (RS),95.77
Santo Antônio da Alegria (SP),94.37
Santo Antônio da Barra (GO),81.4
Santo Antônio da Patrulha (RS),90.95
Santo Antônio da Platina (PR),90.25
Santo Antônio das Missões (RS),90.69
Santo Antônio de Goiás (GO),91.34
Santo Antônio de Jesus (BA),87.65
Santo Antônio de Lisboa (PI),71.43
Santo Antônio de Pádua (RJ),90.75
Santo Antônio de Posse (SP),92.18
Santo Antônio do Amparo (MG),87.42
Santo Antônio do Aracanguá (SP),90.52
Santo Antônio do Aventureiro (MG),86.4
Santo Antônio do Caiuá (PR),87.02
Santo Antônio do Descoberto (GO),90.95
Santo Antônio do Grama (MG),84.88
Santo Antônio do Içá (AM),78.69
Santo Antônio do Itambé (MG),76.91
Santo Antônio do Jacinto (MG),70.58
Santo Antônio do Jardim (SP),91.53
Santo Antônio do Leste (MT),89.47
Santo Antônio do Leverger (MT),83.46
Santo Antônio do Monte (MG),93.6
Santo Antônio do Palma (RS),94.81
Santo Antônio do Paraíso (PR),86.93
Santo Antônio do Pinhal (SP),91.92
Santo Antônio do Planalto (RS),94.45
Santo Antônio do Retiro (MG),68.64
Santo Antônio do Rio Abaixo (MG),81.41
Santo Antônio dos Lopes (MA),69.43
Santo Antônio dos Milagres (PI),72.2
Santo Antônio do Sudoeste (PR),88.34
Santo Antônio do Tauá (PA),88.5
Santo Antônio (RN),69.6
Santo Augusto (RS),90.95
Santo Cristo (RS),97.41
Santo Estêvão (BA),78.52
Santo Expedito do Sul (RS),92.36
Santo Expedito (SP),88.62
Santo Hipólito (MG),83.24
Santo Inácio do Piauí (PI),70.25
Santo Inácio (PR),90.63
Santópolis do Aguapeí (SP),91.5
Santos Dumont (MG),92.74
Santos (SP),97.78
São Benedito (CE),72.91
São Benedito do Rio Preto (MA),68.99
São Benedito do Sul (PE),66.64
São Bentinho (PB),67.2
São Bento Abade (MG),87.09
São Bento do Norte (RN),67.59
São Bento do Sapucaí (SP),91.55
São Bento do Sul (SC),97.58
São Bento do Tocantins (TO),80.34
São Bento do Trairí (RN),71.81
São Bento do Una (PE),70.43
São Bento (MA),80.29
São Bento (PB),66.41
São Bernardino (SC),88.43
São Bernardo do Campo (SP),96.96
São Bernardo (MA),70.76
São Bonifácio (SC),96.29
São Borja (RS),93.49
São Brás (AL),65.3
São Brás do Suaçuí (MG),95.25
São Braz do Piauí (PI),69.59
São Caetano de Odivelas (PA),88.66
São Caetano do Sul (SP),98.45
São Caitano (PE),70.62
São Carlos do Ivaí (PR),89.23
São Carlos (SC),95.29
São Carlos (SP),96.36
São Cristovão do Sul (SC),87.38
São Cristóvão (SE),87.2
São Desidério (BA),74.45
São Domingos (BA),77.86
São Domingos das Dores (MG),87.23
São Domingos do Araguaia (PA),80.3
São Domingos do Azeitão (MA),70.01
São Domingos do Capim (PA),78.33
São Domingos do Cariri (PB),76.19
São Domingos do Maranhão (MA),72.17
São Domingos do Norte (ES),87.89
São Domingos do Prata (MG),91.17
São Domingos do Sul (RS),95.56
São Domingos (GO),76.63
São Domingos (PB),61.45
São Domingos (SC),90.73
São Domingos (SE),66.64
São Felipe (BA),77.36
São Felipe D'Oeste (RO),85.33
São Félix (BA),84.99
São Félix de Balsas (MA),70.41
São Félix de Minas (MG),77.65
São Félix do Araguaia (MT),87.52
São Félix do Coribe (BA),83.17
São Félix do Piauí (PI),65.89
São Félix do Tocantins (TO),79.69
São Félix do Xingu (PA),88.41
São Fernando (RN),72.8
São Fidélis (RJ),89.82
São Francisco de Assis do Piauí (PI),61.05
São Francisco de Assis (RS),91.32
São Francisco de Goiás (GO),85.15
São Francisco de Itabapoana (RJ),81.25
São Francisco de Paula (MG),86.7
São Francisco de Paula (RS),92.56
São Francisco de Sales (MG),89.36
São Francisco do Brejão (MA),73.35
São Francisco do Conde (BA),89.9
São Francisco do Glória (MG),84.72
São Francisco do Guaporé (RO),90.42
São Francisco do Maranhão (MA),63.92
São Francisco do Oeste (RN),73.14
São Francisco do Pará (PA),84.09
São Francisco do Piauí (PI),67.9
São Francisco do Sul (SC),96.36
São Francisco (MG),82.63
São Francisco (PB),68.54
São Francisco (SE),73.28
São Francisco (SP),88.37
São Gabriel (BA),80.44
São Gabriel da Cachoeira (AM),85.34
São Gabriel da Palha (ES),89.43
São Gabriel do Oeste (MS),94.28
São Gabriel (RS),92.0
São Geraldo da Piedade (MG),78.57
São Geraldo do Araguaia (PA),81.28
São Geraldo do Baixio (MG),79.01
São Geraldo (MG),89.56
São Gonçalo do Abaeté (MG),88.16
São Gonçalo do Amarante (CE),79.88
São Gonçalo do Amarante (RN),85.26
São Gonçalo do Gurguéia (PI),75.49
São Gonçalo do Pará (MG),93.4
São Gonçalo do Piauí (PI),72.4
São Gonçalo do Rio Abaixo (MG),88.21
São Gonçalo do Rio Preto (MG),82.5
São Gonçalo do Sapucaí (MG),91.96
São Gonçalo dos Campos (BA),84.97
São Gonçalo (RJ),96.42
São Gotardo (MG),91.97
São Jerônimo da Serra (PR),82.77
São Jerônimo (RS),91.46
São João Batista do Glória (MG),90.23
São João Batista (MA),77.97
São João Batista (SC),96.59
São João da Baliza (RR),88.51
São João da Barra (RJ),90.2
São João da Boa Vista (SP),96.16
São João da Canabrava (PI),63.57
São João da Fronteira (PI),63.01
São João da Lagoa (MG),84.49
São João D'Aliança (GO),85.74
São João da Mata (MG),89.23
São João da Paraúna (GO),87.8
São João da Ponta (PA),91.26
São João da Ponte (MG),71.08
São João das Duas Pontes (SP),90.06
São João da Serra (PI),61.74
São João das Missões (MG),69.56
São João da Urtiga (RS),90.89
São João da Varjota (PI),64.62
São João de Iracema (SP),88.95
São João Del Rei (MG),96.03
São João de Meriti (RJ),96.62
São João de Pirabas (PA),79.28
São João do Araguaia (PA),75.24
São João do Arraial (PI),63.71
São João do Caiuá (PR),86.81
São João do Cariri (PB),81.27
São João do Carú (MA),65.13
São João do Itaperiú (SC),93.43
São João do Ivaí (PR),83.79
São João do Jaguaribe (CE),74.2
São João do Manhuaçu (MG),85.75
São João do Manteninha (MG),78.67
São João do Oeste (SC),98.95
São João do Oriente (MG),83.5
São João do Pacuí (MG),77.74
São João do Paraíso (MA),78.85
São João do Paraíso (MG),72.4
São João do Pau D'Alho (SP),88.73
São João do Piauí (PI),77.78
São João do Polêsine (RS),95.35
São João do Rio do Peixe (PB),72.17
São João do Sabugi (RN),79.58
