Territorialidades,Taxa de Educacao 2010
Braço do Trombudo (SC),96.63
Bragança (PA),84.36
Bragança Paulista (SP),95.63
Braganey (PR),86.73
Braga (RS),86.22
Branquinha (AL),58.42
Brasilândia de Minas (MG),89.55
Brasilândia do Sul (PR),84.56
Brasilândia do Tocantins (TO),83.18
Brasilândia (MS),89.47
Brasiléia (AC),81.92
Brasileira (PI),63.37
Brasília de Minas (MG),84.72
Brasília (DF),96.53
Brasil Novo (PA),82.17
Brasnorte (MT),90.79
Brasópolis (MG),89.97
Brás Pires (MG),86.47
Braúnas (MG),81.5
Braúna (SP),91.03
Brazabrantes (GO),88.94
Brejão (PE),68.14
Brejetuba (ES),81.07
Brejinho de Nazaré (TO),83.37
Brejinho (PE),74.63
Brejinho (RN),68.77
Brejo Alegre (SP),88.3
Brejo da Madre de Deus (PE),67.69
Brejo de Areia (MA),64.92
Brejo do Cruz (PB),68.42
Brejo do Piauí (PI),61.92
Brejo dos Santos (PB),71.63
Brejões (BA),75.73
Brejo Grande do Araguaia (PA),80.21
Brejo Grande (SE),68.52
Brejolândia (BA),73.69
Brejo (MA),70.08
Brejo Santo (CE),77.32
Breu Branco (PA),79.74
Breves (PA),75.26
Britânia (GO),84.51
Brochier (RS),96.67
Brodowski (SP),95.86
Brotas de Macaúbas (BA),78.78
Brotas (SP),93.48
Brumadinho (MG),93.62
Brumado (BA),83.72
Brunópolis (SC),86.37
Brusque (SC),97.32
Bueno Brandão (MG),89.63
Buenópolis (MG),84.64
Buenos Aires (PE),71.89
Buerarema (BA),76.9
Bugre (MG),81.26
Buíque (PE),59.82
Bujari (AC),75.26
Bujaru (PA),85.43
Buri (SP),90.69
Buritama (SP),91.29
Buriti Alegre (GO),90.03
Buriti Bravo (MA),69.58
Buriticupu (MA),73.1
Buriti de Goiás (GO),86.2
Buriti dos Lopes (PI),70.37
Buriti dos Montes (PI),67.71
Buriti do Tocantins (TO),77.64
Buriti (MA),69.73
Buritinópolis (GO),81.31
Buritirama (BA),73.95
Buritirana (MA),71.55
Buritis (MG),84.92
Buritis (RO),90.15
Buritizal (SP),94.2
Buritizeiro (MG),86.19
Butiá (RS),91.54
Caapiranga (AM),84.93
Caaporã (PB),76.14
